"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Thu Oct 17 15:44:59 2024"
"FAPP-info","Type of program","MPI"
"FAPP-info","Virtual coordinate","4.4.2"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","511","2200"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","258","0","fx0279","2","37"
"FAPP-core","0","257","0","fx0279","1","25"
"FAPP-core","0","256","0","fx0279","0","13"
"FAPP-core","0","353","0","fx0951","1","24"
"FAPP-core","0","481","0","fx0919","1","25"
"FAPP-core","0","480","0","fx0919","0","13"
"FAPP-core","0","352","0","fx0951","0","13"
"FAPP-core","0","402","0","fx0847","-","-"
"FAPP-core","0","401","0","fx0847","1","25"
"FAPP-core","0","400","0","fx0847","0","13"
"FAPP-core","0","386","0","fx0839","2","36"
"FAPP-core","0","161","0","fx0936","1","25"
"FAPP-core","0","433","0","fx0943","1","26"
"FAPP-core","0","385","0","fx0839","1","26"
"FAPP-core","0","387","0","fx0839","3","48"
"FAPP-core","0","388","0","fx0839","0","16"
"FAPP-core","0","35","0","fx0376","3","49"
"FAPP-core","0","259","0","fx0279","3","49"
"FAPP-core","0","34","0","fx0376","2","36"
"FAPP-core","0","260","0","fx0279","0","17"
"FAPP-core","0","33","0","fx0376","-","-"
"FAPP-core","0","403","0","fx0847","3","48"
"FAPP-core","0","404","0","fx0847","0","15"
"FAPP-core","0","36","0","fx0376","0","17"
"FAPP-core","0","32","0","fx0376","0","13"
"FAPP-core","0","354","0","fx0951","2","36"
"FAPP-core","0","384","0","fx0839","0","14"
"FAPP-core","0","261","0","fx0279","1","27"
"FAPP-core","0","213","0","fx0832","1","29"
"FAPP-core","0","217","0","fx0832","1","31"
"FAPP-core","0","221","0","fx0832","1","33"
"FAPP-core","0","162","0","fx0936","2","38"
"FAPP-core","0","160","0","fx0936","0","12"
"FAPP-core","0","432","0","fx0943","0","12"
"FAPP-core","0","177","0","fx0944","1","26"
"FAPP-core","0","178","0","fx0944","2","36"
"FAPP-core","0","209","0","fx0832","1","25"
"FAPP-core","0","176","0","fx0944","-","-"
"FAPP-core","0","166","0","fx0936","2","39"
"FAPP-core","0","405","0","fx0847","-","-"
"FAPP-core","0","165","0","fx0936","1","28"
"FAPP-core","0","355","0","fx0951","3","49"
"FAPP-core","0","407","0","fx0847","3","51"
"FAPP-core","0","320","0","fx0855","0","14"
"FAPP-core","0","262","0","fx0279","-","-"
"FAPP-core","0","263","0","fx0279","3","51"
"FAPP-core","0","359","0","fx0951","3","51"
"FAPP-core","0","167","0","fx0936","3","51"
"FAPP-core","0","265","0","fx0279","1","30"
"FAPP-core","0","169","0","fx0936","1","30"
"FAPP-core","0","163","0","fx0936","3","48"
"FAPP-core","0","389","0","fx0839","1","27"
"FAPP-core","0","3","0","fx0280","-","-"
"FAPP-core","0","13","0","fx0280","1","34"
"FAPP-core","0","14","0","fx0280","2","47"
"FAPP-core","0","11","0","fx0280","3","54"
"FAPP-core","0","5","0","fx0280","-","-"
"FAPP-core","0","264","0","fx0279","0","18"
"FAPP-core","0","2","0","fx0280","2","36"
"FAPP-core","0","484","0","fx0919","0","16"
"FAPP-core","0","10","0","fx0280","2","42"
"FAPP-core","0","15","0","fx0280","3","59"
"FAPP-core","0","6","0","fx0280","-","-"
"FAPP-core","0","7","0","fx0280","3","51"
"FAPP-core","0","9","0","fx0280","-","-"
"FAPP-core","0","12","0","fx0280","-","-"
"FAPP-core","0","8","0","fx0280","0","18"
"FAPP-core","0","0","0","fx0280","-","-"
"FAPP-core","0","1","0","fx0280","1","24"
"FAPP-core","0","4","0","fx0280","0","15"
"FAPP-core","0","483","0","fx0919","3","48"
"FAPP-core","0","487","0","fx0919","3","51"
"FAPP-core","0","172","0","fx0936","0","21"
"FAPP-core","0","219","0","fx0832","-","-"
"FAPP-core","0","170","0","fx0936","2","42"
"FAPP-core","0","208","0","fx0832","0","13"
"FAPP-core","0","244","0","fx0928","0","16"
"FAPP-core","0","242","0","fx0928","2","37"
"FAPP-core","0","393","0","fx0839","1","30"
"FAPP-core","0","241","0","fx0928","1","24"
"FAPP-core","0","243","0","fx0928","-","-"
"FAPP-core","0","171","0","fx0936","3","54"
"FAPP-core","0","245","0","fx0928","-","-"
"FAPP-core","0","240","0","fx0928","0","12"
"FAPP-core","0","173","0","fx0936","1","33"
"FAPP-core","0","482","0","fx0919","2","36"
"FAPP-core","0","305","0","fx0383","1","25"
"FAPP-core","0","307","0","fx0383","3","48"
"FAPP-core","0","211","0","fx0832","3","48"
"FAPP-core","0","168","0","fx0936","0","18"
"FAPP-core","0","215","0","fx0832","-","-"
"FAPP-core","0","249","0","fx0928","1","32"
"FAPP-core","0","175","0","fx0936","3","59"
"FAPP-core","0","174","0","fx0936","2","45"
"FAPP-core","0","489","0","fx0919","1","30"
"FAPP-core","0","164","0","fx0936","0","15"
"FAPP-core","0","212","0","fx0832","0","15"
"FAPP-core","0","266","0","fx0279","-","-"
"FAPP-core","0","485","0","fx0919","1","27"
"FAPP-core","0","77","0","fx0856","1","33"
"FAPP-core","0","486","0","fx0919","2","39"
"FAPP-core","0","66","0","fx0856","2","36"
"FAPP-core","0","75","0","fx0856","3","55"
"FAPP-core","0","71","0","fx0856","-","-"
"FAPP-core","0","304","0","fx0383","0","12"
"FAPP-core","0","74","0","fx0856","2","42"
"FAPP-core","0","69","0","fx0856","1","28"
"FAPP-core","0","79","0","fx0856","3","59"
"FAPP-core","0","78","0","fx0856","2","45"
"FAPP-core","0","70","0","fx0856","2","39"
"FAPP-core","0","214","0","fx0832","2","39"
"FAPP-core","0","68","0","fx0856","0","15"
"FAPP-core","0","72","0","fx0856","0","18"
"FAPP-core","0","67","0","fx0856","3","48"
"FAPP-core","0","73","0","fx0856","1","30"
"FAPP-core","0","65","0","fx0856","1","24"
"FAPP-core","0","210","0","fx0832","-","-"
"FAPP-core","0","251","0","fx0928","3","54"
"FAPP-core","0","247","0","fx0928","3","52"
"FAPP-core","0","64","0","fx0856","0","14"
"FAPP-core","0","76","0","fx0856","0","23"
"FAPP-core","0","394","0","fx0839","-","-"
"FAPP-core","0","490","0","fx0919","-","-"
"FAPP-core","0","218","0","fx0832","-","-"
"FAPP-core","0","222","0","fx0832","-","-"
"FAPP-core","0","220","0","fx0832","-","-"
"FAPP-core","0","223","0","fx0832","-","-"
"FAPP-core","0","216","0","fx0832","0","20"
"FAPP-core","0","253","0","fx0928","1","35"
"FAPP-core","0","491","0","fx0919","3","54"
"FAPP-core","0","390","0","fx0839","2","39"
"FAPP-core","0","488","0","fx0919","0","18"
"FAPP-core","0","492","0","fx0919","0","21"
"FAPP-core","0","493","0","fx0919","1","33"
"FAPP-core","0","494","0","fx0919","2","45"
"FAPP-core","0","495","0","fx0919","3","57"
"FAPP-core","0","250","0","fx0928","2","42"
"FAPP-core","0","246","0","fx0928","2","40"
