"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Oct 11 15:46:47 2024"
"FAPP-info","Type of program","MPI & Thread (AUTO)  3"
"FAPP-info","Virtual coordinate","4.4.2"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","511","2200"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","109","0","fx0952","1","33"
"FAPP-core","0","109","1","fx0952","1","34"
"FAPP-core","0","109","2","fx0952","1","35"
"FAPP-core","0","394","0","fx0839","2","42"
"FAPP-core","0","394","1","fx0839","2","43"
"FAPP-core","0","394","2","fx0839","2","44"
"FAPP-core","0","509","0","fx0927","1","33"
"FAPP-core","0","509","1","fx0927","1","34"
"FAPP-core","0","509","2","fx0927","1","35"
"FAPP-core","0","243","0","fx0928","3","48"
"FAPP-core","0","243","1","fx0928","3","49"
"FAPP-core","0","243","2","fx0928","3","50"
"FAPP-core","0","263","0","fx0279","3","51"
"FAPP-core","0","263","1","fx0279","3","52"
"FAPP-core","0","263","2","fx0279","3","53"
"FAPP-core","0","271","0","fx0279","3","57"
"FAPP-core","0","271","1","fx0279","3","58"
"FAPP-core","0","271","2","fx0279","3","59"
"FAPP-core","0","505","0","fx0927","1","30"
"FAPP-core","0","505","1","fx0927","1","31"
"FAPP-core","0","505","2","fx0927","1","32"
"FAPP-core","0","259","0","fx0279","3","48"
"FAPP-core","0","259","1","fx0279","3","49"
"FAPP-core","0","259","2","fx0279","3","50"
"FAPP-core","0","65","0","fx0856","1","24"
"FAPP-core","0","65","1","fx0856","1","25"
"FAPP-core","0","65","2","fx0856","1","26"
"FAPP-core","0","226","0","fx0920","2","36"
"FAPP-core","0","226","1","fx0920","2","37"
"FAPP-core","0","226","2","fx0920","2","38"
"FAPP-core","0","246","0","fx0928","2","39"
"FAPP-core","0","246","1","fx0928","2","40"
"FAPP-core","0","246","2","fx0928","2","41"
"FAPP-core","0","225","0","fx0920","1","24"
"FAPP-core","0","225","1","fx0920","1","25"
"FAPP-core","0","225","2","fx0920","1","26"
"FAPP-core","0","71","0","fx0856","3","51"
"FAPP-core","0","71","1","fx0856","3","52"
"FAPP-core","0","71","2","fx0856","3","53"
"FAPP-core","0","224","0","fx0920","0","12"
"FAPP-core","0","224","1","fx0920","0","13"
"FAPP-core","0","224","2","fx0920","0","14"
"FAPP-core","0","465","0","fx0831","1","24"
"FAPP-core","0","465","1","fx0831","1","25"
"FAPP-core","0","465","2","fx0831","1","26"
"FAPP-core","0","471","0","fx0831","3","51"
"FAPP-core","0","471","1","fx0831","3","52"
"FAPP-core","0","471","2","fx0831","3","53"
